Bottle,Barrel,Selected by,Nickname,Age,Proof,Type,Finish,Mashbill,Source,Distill Date,Bottle Date,Price,State,Retail Partner
1,OLS-B-1,@WhiskyVegas,,6yrs 1mo,119.34,,Oloroso,60/36/4,MGP,,,,NV,
2,RIO-289,Alec Bradley,,6yrs 4mos,116.62,,,75/21/4,MGP,,,,DC,
3,I21-06,Allocated Liquor,,4yrs 4mos,116.6,,,,MGP,,,$79.95,CA,Top Bourbon
4,IRT-42-A,Bar Keeper,,5yrs,120.76,,,60/36/4,MGP,,,,CA,
5,IRT-06,Barrels & Brews,,5yrs 6mos,117.98,,,60/36/4,MGP,,,,TN,
6,IRT-26,Big Corks Germantown,,5yrs 6mos,117.42,,,60/36/4,MGP,,,,TN,Corks Wine & Spirits
7,RIO-248,Bourbon Buddy,,6yrs,113.7,,,75/21/4,MGP,,,,DC,
8,RIO-223,Bourbon Enthusiast,,5yrs 9mos,115.8,,,75/21/4,MGP,,,$79.99,CA,Royal Batch
9,CC-2,Bourbon Junkies,,6yrs 2mos,117.4,,Cognac,60/36/4,MGP,,,,DC,
10,RIO-209,Bourbon Junkies,,6yrs 1mo,117.86,,,75/21/4,MGP,,,,DC,
11,IRT-55,Bourbons Bistro,,5yrs 4mos,122.64,,,60/36/4,MGP,,,,KY,
12,RIO-227,Burlington Wine & Spirits,Praline Ice Cream,6yrs 7mos,115.58,,,75/21/4,MGP,5/16,12/22,$79.99,MA,Burlington Wine & Spirits
13,IRT-15,Buster's Liquor & Wine,Buster's Barrel,,,,,60/36/4,MGP,,,$71.99,TN,Buster's Liquor & Wine
14,RIO-228,Buster's Liquor & Wine,,6yrs 6mos,114.1,,,75/21/4,MGP,,,$81.99,TN,Buster's Liquor & Wine
15,OLS-B-2,Casa Fuente,,6yrs 5mos,110.78,,Oloroso,60/36/4,MGP,,,,NV,
16,IRT-33,Cask,,5yrs 11mos,117.7,,,60/36/4,MGP,,,,CA,
17,RIO-287,Chasing Bourbon,,6yrs 6mos,115.64,,,75/21/4,MGP,,,,DC,
18,IRT-44,Chestnut Club,,5yrs,121.84,,,60/36/4,MGP,12/13/16,11/12/21,,CA,
19,RIO-296,Chinglish,,5yrs 7mos,93,,,75/21/4,MGP,,,,NV,
20,RIO-222-C,Chip's Liquor,,6yrs 1mo,115.6,,,75/21/4,MGP,5/16,6/22,$74.99,CA,Chip's Liquor
21,RIO-224,Corona Cigars,,6yrs 4mos,116.26,,,75/21/4,MGP,,,,FL,
22,MAD-B-05,Cosmopolitan,,5yrs 5mos,112.68,,Madeira,60/36/4,MGP,,4/2022,,NV,NFS
23,RIO-269,Cosmopolitan,,6yrs 7mos,112.64,,,75/21/4,MGP,,,,NV,NFS
24,IRT-02,Curiada,,,,,,60/36/4,MGP,,,,CT,Curiada
25,RIO-222-A,Del Mesa Liquor,,6yrs 1mo,115.6,,,75/21/4,MGP,5/16,6/22,$79.99,CA,Del Mesa Liquor
26,RIO-238,Dion's,Bourbon Bomber ,6yrs 7mos,113.42,,,75/21/4,MGP,,,$79.99,MA,Dion's 
27,RIO-240,Dion's,Dion's Storefront,6yrs 7mos,114.14,,,75/21/4,MGP,,,$79.99,MA,Dion's
28,RIO-242,Eataly at Park MGM,,5yrs 10mos,94,,,75/21/4,MGP,,,$120.00,NV,Eataly
29,IRT-25,El Cerrito Liquor,,5yrs 6mos,117.22,,,60/36/4,MGP,11/16,5/22,$75.00,CA,El Cerrito
30,IRT-51,Elixir,,5yrs 10mos,120.78,,,60/36/4,MGP,,,,TN,
31,RIO-205,Ettan,,5yrs 9mos,90,,,75/21/4,MGP,,,,CA,
32,RIO-243,Eureka!,Pug,6yrs 2mos,104.58,,,75/21/4,MGP,,,,CA,Eureka
33,RIO-255,Eureka!,Flamingo,6yrs 2mos,118.02,,,75/21/4,MGP,,,,CA,Eureka
34,I21-03,Eureka!,Llama,4yrs 7mos,114.94,,,,,,,,CA,Eureka
35,I21-07,Eureka!,Llama,,116.44,,,,,,,,CA,Eureka
